"","tract_name","pop_total","pop_total_25plus","median_household_income","pop_white","pop_black","pop_amerindian","pop_asian","pop_nativehawaii","pop_otherrace","pop_tworaces","pop_hispanic","mhinc_2544ages","mhinc_4465ages","fips_state_code","fips_county_code","tract","mhinc","pct_popam","pct_popas","pct_pophi","pct_popbl","pct_popwh","pct_pophp","pct_poptr","pct_popothr","pocrace","race_brks_nonwhiteasian","inc_brks"
"10873","Census Tract 3574, Middlesex County, Massachusetts",2377,1630,156131,1820,0,0,273,0,0,87,197,173750,200288,25,17,"357400",374038,0,11.5,8.3,0,76.6,0,3.7,0,8.3,"0-19%","$200k+"
"10874","Census Tract 3601, Middlesex County, Massachusetts",1924,922,93534,1255,9,0,192,0,5,114,349,87411,137563,25,17,"360100",224974,0,10,18.1,0.5,65.2,0,5.9,0.3,18.6,"0-19%","$200k+"
"10875","Census Tract 3683, Middlesex County, Massachusetts",5244,4068,63977,3568,435,0,391,0,0,150,700,93199,60772,25,17,"368300",153971,0,7.5,13.3,8.3,68,0,2.9,0,21.6,"20-39%","$150-199k"
"10876","Census Tract 3731, Middlesex County, Massachusetts",4868,3670,98897,3609,180,0,762,0,24,148,145,118409,123490,25,17,"373100",241899,0,15.7,3,3.7,74.1,0,3,0.5,6.7,"0-19%","$200k+"
"10877","Census Tract 3733, Middlesex County, Massachusetts",3205,2198,118073,2414,195,0,462,0,0,37,97,134417,118750,25,17,"373300",253167,0,14.4,3,6.1,75.3,0,1.2,0,9.1,"0-19%","$200k+"
"10878","Census Tract 3737, Middlesex County, Massachusetts",3580,2538,215114,3003,53,0,248,0,0,121,155,250001,250001,25,17,"373700",500002,0,6.9,4.3,1.5,83.9,0,3.4,0,5.8,"0-19%","$200k+"
"10879","Census Tract 3742, Middlesex County, Massachusetts",4398,3078,155987,3529,39,0,450,0,16,204,160,136364,233393,25,17,"374200",369757,0,10.2,3.6,0.9,80.2,0,4.6,0.4,4.5,"0-19%","$200k+"
"10880","Census Tract 3746, Middlesex County, Massachusetts",5191,3523,120216,3655,153,0,628,0,21,161,573,135357,131111,25,17,"374600",266468,0,12.1,11,2.9,70.4,0,3.1,0.4,13.9,"0-19%","$200k+"
"10881","Census Tract 3838, Middlesex County, Massachusetts",5637,4261,115518,4464,137,13,682,0,17,80,244,121250,123462,25,17,"383800",244712,0.2,12.1,4.3,2.4,79.2,0,1.4,0.3,6.9,"0-19%","$200k+"
"10882","Census Tract 3851, Middlesex County, Massachusetts",6921,4667,122201,5830,233,0,291,0,0,149,418,150625,124821,25,17,"385100",275446,0,4.2,6,3.4,84.2,0,2.2,0,9.4,"0-19%","$200k+"
